nser,dim,orig_eps,orig_l1,vdbm_nb,vdbm_l1,eps,delta,num_bit,setup,computing,proving,verifying,comm,l1,l2
2,16,0.001,23999.99799999937,232658555,137690.68468638035,0.0010299027034834651,3.832433913684342e-11,366,0.0203214,4.45182,27.5247,15.3167,4284576,27986,9509.796948410623
2,16,0.01,2399.9799998000135,2529927,14358.168354924823,0.010229091805857848,6.3754518451138156e-12,285,0.0127684,3.45587,21.5621,11.8979,3336384,3045,1007.345521655802
2,16,0.1,239.79980092265015,28452,1522.6547664245861,0.10146565545447173,3.802164711137073e-13,230,0.00765066,2.79246,17.278,9.61245,2696032,137,49.68903299521938
2,16,1.0,21.87575904051089,331,164.2324770429701,1.0069026891786528,5.811828035869712e-15,159,0.00734362,1.94305,11.8687,6.66513,1866240,23,7.14142842854285
2,64,0.001,95999.99199999748,232658555,550762.7387455214,0.0010299027034834651,3.832433913684342e-11,366,0.0372128,17.9816,103.969,15.3437,4290720,79908,12640.265661765183
2,64,0.01,9599.919999200054,2529927,57432.67341969929,0.010229091805857848,6.3754518451138156e-12,285,0.0337349,14.0386,81.7176,12.0033,3342528,8770,1644.596607074209
2,64,0.1,959.1992036906006,28452,6090.6190656983445,0.10146565545447173,3.802164711137073e-13,230,0.0426107,11.332,65.4831,9.65422,2702176,916,152.6892268629323
2,64,1.0,87.50303616204356,331,656.9299081718804,1.0069026891786528,5.811828035869712e-15,159,0.0360591,7.89502,44.4622,6.66866,1872384,75,11.874342087037917
2,256,0.001,383999.9679999899,232658555,2203050.9549820856,0.0010299027034834651,3.832433913684342e-11,366,0.117625,72.2423,416.075,15.7996,4315296,383542,32112.09610100219
2,256,0.01,38399.679996800216,2529927,229730.69367879716,0.010229091805857848,6.3754518451138156e-12,285,0.117186,56.2657,323.852,12.2868,3367104,37661,3133.105647755913
2,256,0.1,3836.7968147624024,28452,24362.476262793378,0.10146565545447173,3.802164711137073e-13,230,0.118004,45.4732,259.563,9.87451,2726752,3909,339.418620585259
2,256,1.0,350.0121446481742,331,2627.7196326875214,1.0069026891786528,5.811828035869712e-15,159,0.116003,31.486,177.821,6.78662,1896960,320,28.600699292150182
2,1024,0.001,1535999.8719999597,232658555,8812203.819928342,0.0010299027034834651,3.832433913684342e-11,366,0.418007,290.341,1679.65,17.8049,4413600,1459928,61268.80233854747
2,1024,0.01,153598.71998720086,2529927,918922.7747151887,0.010229091805857848,6.3754518451138156e-12,285,0.416427,226.327,1305.34,13.6224,3465408,147413,5936.254964200914
2,1024,0.1,15347.18725904961,28452,97449.90505117351,0.10146565545447173,3.802164711137073e-13,230,0.414652,182.586,1048.79,10.9956,2825056,16079,681.0660760895378
2,1024,1.0,1400.048578592697,331,10510.878530750086,1.0069026891786528,5.811828035869712e-15,159,0.414567,126.41,716.168,7.36292,1995264,1388,60.597029630172464
2,4096,0.001,6143999.487999839,232658555,35248815.27971337,0.0010299027034834651,3.832433913684342e-11,366,1.61596,1166,6807.11,26.4916,4806816,6092230,126160.4831078258
2,4096,0.01,614394.8799488035,2529927,3675691.0988607546,0.010229091805857848,6.3754518451138156e-12,285,1.61474,909.585,5297.51,20.4509,3858624,612378,12873.530518082442
2,4096,0.1,61388.74903619844,28452,389799.62020469405,0.10146565545447173,3.802164711137073e-13,230,1.61746,733.335,4261.09,15.8724,3218272,61860,1284.3877919071015
2,4096,1.0,5600.194314370788,331,42043.51412300034,1.0069026891786528,5.811828035869712e-15,159,1.61684,508.381,2908.79,10.2109,2388480,5536,120.59850745345068
2,16,0.001,23999.99799999937,232658555,137690.68468638035,0.0010299027034834651,3.832433913684342e-11,366,0.0188703,4.43848,27.5326,15.2918,4284576,28195,9273.405469405508
2,16,0.01,2399.9799998000135,2529927,14358.168354924823,0.010229091805857848,6.3754518451138156e-12,285,0.0100878,3.48461,21.9018,12.0612,3336384,2299,746.7804228821213
2,16,0.1,239.79980092265015,28452,1522.6547664245861,0.10146565545447173,3.802164711137073e-13,230,0.0182599,2.81093,17.3578,9.6547,2696032,234,77.23988606931007
2,16,1.0,21.87575904051089,331,164.2324770429701,1.0069026891786528,5.811828035869712e-15,159,0.007358,1.95047,11.8492,6.66518,1866240,19,7.937253933193772
2,64,0.001,95999.99199999748,232658555,550762.7387455214,0.0010299027034834651,3.832433913684342e-11,366,0.0372522,17.9967,103.775,15.3417,4290720,111031,18193.892684084953
2,64,0.01,9599.919999200054,2529927,57432.67341969929,0.010229091805857848,6.3754518451138156e-12,285,0.0422334,14.0238,81.3176,11.9649,3342528,7625,1179.4604698759513
2,64,0.1,959.1992036906006,28452,6090.6190656983445,0.10146565545447173,3.802164711137073e-13,230,0.0427892,11.3357,65.4515,9.65081,2702176,906,145.29280780547947
2,64,1.0,87.50303616204356,331,656.9299081718804,1.0069026891786528,5.811828035869712e-15,159,0.0370694,7.86621,44.6848,6.66897,1872384,118,19.28730152198591
2,256,0.001,383999.9679999899,232658555,2203050.9549820856,0.0010299027034834651,3.832433913684342e-11,366,0.117017,72.2411,414.167,15.7812,4315296,401754,32074.93965699702
2,256,0.01,38399.679996800216,2529927,229730.69367879716,0.010229091805857848,6.3754518451138156e-12,285,0.116045,56.3451,323.549,12.3074,3367104,41147,3331.1359924206035
2,256,0.1,3836.7968147624024,28452,24362.476262793378,0.10146565545447173,3.802164711137073e-13,230,0.116802,45.4721,259.264,9.87483,2726752,3497,287.4212935744323
2,256,1.0,350.0121446481742,331,2627.7196326875214,1.0069026891786528,5.811828035869712e-15,159,0.116988,31.581,178.873,6.81221,1896960,355,32.7566787083184
2,1024,0.001,1535999.8719999597,232658555,8812203.819928342,0.0010299027034834651,3.832433913684342e-11,366,0.417301,290.129,1680.85,17.8687,4413600,1498205,62132.03015353675
2,1024,0.01,153598.71998720086,2529927,918922.7747151887,0.010229091805857848,6.3754518451138156e-12,285,0.416005,226.425,1307.72,13.8466,3465408,151943,6325.241260220831
2,1024,0.1,15347.18725904961,28452,97449.90505117351,0.10146565545447173,3.802164711137073e-13,230,0.416486,182.606,1048.48,10.9091,2825056,14950,622.732687434986
2,1024,1.0,1400.048578592697,331,10510.878530750086,1.0069026891786528,5.811828035869712e-15,159,0.414551,126.389,714.946,7.36132,1995264,1304,58.770741019660456
2,4096,0.001,6143999.487999839,232658555,35248815.27971337,0.0010299027034834651,3.832433913684342e-11,366,1.61741,1165.97,6808.72,26.5336,4806816,6126266,126669.86664554439
2,4096,0.01,614394.8799488035,2529927,3675691.0988607546,0.010229091805857848,6.3754518451138156e-12,285,1.61649,908.705,5284.72,20.4542,3858624,621185,12942.868036103899
2,4096,0.1,61388.74903619844,28452,389799.62020469405,0.10146565545447173,3.802164711137073e-13,230,1.61671,734.162,4244.71,15.8421,3218272,62072,1298.1386674774
2,4096,1.0,5600.194314370788,331,42043.51412300034,1.0069026891786528,5.811828035869712e-15,159,1.61519,507.588,2910.39,10.5785,2388480,5643,124.50301201175817
2,16,0.001,23999.99799999937,232658555,137690.68468638035,0.0010299027034834651,3.832433913684342e-11,366,0.0188243,4.43376,27.3309,15.2646,4284576,27966,8078.811422480413
2,16,0.01,2399.9799998000135,2529927,14358.168354924823,0.010229091805857848,6.3754518451138156e-12,285,0.0165091,3.4692,21.4067,11.9088,3336384,2686,866.864464607934
2,16,0.1,239.79980092265015,28452,1522.6547664245861,0.10146565545447173,3.802164711137073e-13,230,0.0201189,2.80305,17.3808,9.63721,2696032,188,60.398675482166
2,16,1.0,21.87575904051089,331,164.2324770429701,1.0069026891786528,5.811828035869712e-15,159,0.00736199,1.93957,11.8633,6.65566,1866240,20,6.0
2,64,0.001,95999.99199999748,232658555,550762.7387455214,0.0010299027034834651,3.832433913684342e-11,366,0.0407878,18.0153,103.942,15.3594,4290720,98314,16248.570952548413
2,64,0.01,9599.919999200054,2529927,57432.67341969929,0.010229091805857848,6.3754518451138156e-12,285,0.0441773,14.0385,81.6321,11.9834,3342528,10274,1659.1401387465737
2,64,0.1,959.1992036906006,28452,6090.6190656983445,0.10146565545447173,3.802164711137073e-13,230,0.0420503,11.3463,64.9807,9.65036,2702176,1091,168.92305940871424
2,64,1.0,87.50303616204356,331,656.9299081718804,1.0069026891786528,5.811828035869712e-15,159,0.0418757,7.87634,44.3883,6.65916,1872384,90,15.297058540778355
2,256,0.001,383999.9679999899,232658555,2203050.9549820856,0.0010299027034834651,3.832433913684342e-11,366,0.108123,72.285,415.768,15.7926,4315296,381297,30553.416879295186
2,256,0.01,38399.679996800216,2529927,229730.69367879716,0.010229091805857848,6.3754518451138156e-12,285,0.117651,56.286,323.647,12.2964,3367104,37873,3079.4056244671633
2,256,0.1,3836.7968147624024,28452,24362.476262793378,0.10146565545447173,3.802164711137073e-13,230,0.116977,45.4735,258.653,9.85058,2726752,3782,319.343075703858
2,256,1.0,350.0121446481742,331,2627.7196326875214,1.0069026891786528,5.811828035869712e-15,159,0.116421,31.5316,176.914,6.78728,1896960,374,31.74901573277509
2,1024,0.001,1535999.8719999597,232658555,8812203.819928342,0.0010299027034834651,3.832433913684342e-11,366,0.417163,290.314,1678.55,17.679,4413600,1597203,65924.95274931943
2,1024,0.01,153598.71998720086,2529927,918922.7747151887,0.010229091805857848,6.3754518451138156e-12,285,0.415991,226.085,1303.34,13.7918,3465408,155355,6473.70226377457
2,1024,0.1,15347.18725904961,28452,97449.90505117351,0.10146565545447173,3.802164711137073e-13,230,0.416397,182.701,1048.3,10.9047,2825056,15336,636.9992150701601
2,1024,1.0,1400.048578592697,331,10510.878530750086,1.0069026891786528,5.811828035869712e-15,159,0.415926,126.32,715.283,7.52677,1995264,1460,64.26507605223851
